tissue	target_index	track_name	strand	assay_title	output_type	ontology_curie	biosample_name	biosample_type	biosample_life_stage	data_source	gtex_tissue	nonzero_mean	matched_patterns
Lung	1510	UBERON:0002048 total RNA-seq	-	total RNA-seq	OutputType.RNA_SEQ	UBERON:0002048	lung	tissue	embryonic	encode		0.08134463429450989	\blung\b;\blung\b
Lung	1280	UBERON:0008952 total RNA-seq	+	total RNA-seq	OutputType.RNA_SEQ	UBERON:0008952	upper lobe of left lung	tissue	adult	encode		0.0914291962981224	\blung\b;\blung\b
Lung	1551	UBERON:0008952 total RNA-seq	-	total RNA-seq	OutputType.RNA_SEQ	UBERON:0008952	upper lobe of left lung	tissue	adult	encode		0.0914291962981224	\blung\b;\blung\b
Lung	1257	UBERON:0002170 total RNA-seq	+	total RNA-seq	OutputType.RNA_SEQ	UBERON:0002170	upper lobe of right lung	tissue	adult	encode		0.18277625739574432	\blung\b;\blung\b
Lung	1528	UBERON:0002170 total RNA-seq	-	total RNA-seq	OutputType.RNA_SEQ	UBERON:0002170	upper lobe of right lung	tissue	adult	encode		0.18277625739574432	\blung\b;\blung\b
Mesothelium	1101	CL:0011019 total RNA-seq	+	total RNA-seq	OutputType.RNA_SEQ	CL:0011019	mesothelial cell of epicardium	in_vitro_differentiated_cells	embryonic	encode		0.08205718547105789	\bmesothelial\b
Mesothelium	1372	CL:0011019 total RNA-seq	-	total RNA-seq	OutputType.RNA_SEQ	CL:0011019	mesothelial cell of epicardium	in_vitro_differentiated_cells	embryonic	encode		0.08205718547105789	\bmesothelial\b
Ovary	1614	UBERON:0000992 gtex Ovary polyA plus RNA-seq	.	polyA plus RNA-seq	OutputType.RNA_SEQ	UBERON:0000992	ovary	tissue	adult	gtex	Ovary	0.054519396275281906	\bovary\b;\bovary\b
Ovary	1203	UBERON:0000992 polyA plus RNA-seq	+	polyA plus RNA-seq	OutputType.RNA_SEQ	UBERON:0000992	ovary	tissue	adult	encode		0.12122903764247894	\bovary\b;\bovary\b
Ovary	1474	UBERON:0000992 polyA plus RNA-seq	-	polyA plus RNA-seq	OutputType.RNA_SEQ	UBERON:0000992	ovary	tissue	adult	encode		0.12122903764247894	\bovary\b;\bovary\b
Ovary	1615	UBERON:0000992 polyA plus RNA-seq	.	polyA plus RNA-seq	OutputType.RNA_SEQ	UBERON:0000992	ovary	tissue	embryonic	encode		0.418280690908432	\bovary\b;\bovary\b
Ovary	1204	UBERON:0000992 total RNA-seq	+	total RNA-seq	OutputType.RNA_SEQ	UBERON:0000992	ovary	tissue	adult	encode		0.11545416712760925	\bovary\b;\bovary\b
Ovary	1475	UBERON:0000992 total RNA-seq	-	total RNA-seq	OutputType.RNA_SEQ	UBERON:0000992	ovary	tissue	adult	encode		0.11545416712760925	\bovary\b;\bovary\b
Pancreas	1619	UBERON:0001150 gtex Pancreas polyA plus RNA-seq	.	polyA plus RNA-seq	OutputType.RNA_SEQ	UBERON:0001150	body of pancreas	tissue	adult	gtex	Pancreas	0.0555739589035511	\bpancreas\b;\bpancreas\b
Pancreas	1187	UBERON:0000016 polyA plus RNA-seq	+	polyA plus RNA-seq	OutputType.RNA_SEQ	UBERON:0000016	endocrine pancreas	tissue	adult	encode		0.08397355675697327	\bpancreas\b;\bpancreas\b
Pancreas	1458	UBERON:0000016 polyA plus RNA-seq	-	polyA plus RNA-seq	OutputType.RNA_SEQ	UBERON:0000016	endocrine pancreas	tissue	adult	encode		0.08397355675697327	\bpancreas\b;\bpancreas\b
Pancreas	1220	UBERON:0001264 polyA plus RNA-seq	+	polyA plus RNA-seq	OutputType.RNA_SEQ	UBERON:0001264	pancreas	tissue	adult	encode		0.1047201007604599	\bpancreas\b;\bpancreas\b
Pancreas	1491	UBERON:0001264 polyA plus RNA-seq	-	polyA plus RNA-seq	OutputType.RNA_SEQ	UBERON:0001264	pancreas	tissue	adult	encode		0.1047201007604599	\bpancreas\b;\bpancreas\b
