id	filename	md5	size	state
fc036ccd-7d59-43a8-847f-ab367d8de927	f1270243-3813-4e20-a0a8-d5ca020ae5d0.rna_seq.genomic.gdc_realn.bam	66df9cc1c505669990bad54eb058ac42	4359971577	released
deca3f15-44fe-438c-9e88-5690e25bf8c3	7a5f90d5-d9b3-4ddd-b182-24c4574b40ce.rna_seq.genomic.gdc_realn.bam	1fa26c8437c03c07eccf870ba31a2785	3985036978	released
a3ea71e9-5a1d-4922-a0a3-579622b33882	75c1f581-2d4e-409e-8880-aa38926d0088.rna_seq.genomic.gdc_realn.bam	62049e3cb15f3521fb9b9f72716c76b3	8005453023	released
ed7e0221-e9a8-46b3-b6cc-13307f7c062e	e045554d-52a6-4e83-8ca1-0cbb75a2a68b.rna_seq.genomic.gdc_realn.bam	454e1c164763bf6edaf08b515eb6825a	5325663993	released
0b738cc4-5805-4b5a-a72d-f2af2603800f	7b54d220-229c-421f-8d6d-891a27354951.rna_seq.genomic.gdc_realn.bam	c5d88a572c4ff487900f44abe0e31aa0	3424947848	released
c6526fae-faa9-4fcc-b1a7-3837a3e84e2d	1e899b2d-aaca-4c8d-afbd-14b453af8197.rna_seq.genomic.gdc_realn.bam	78bdf04e1d872eca93ac13c8d2c44adf	6058752291	released
64e4a02b-9361-45a5-9947-6b2e1f2f1222	16ffcf18-691e-4523-a245-82aa10f2062a.rna_seq.genomic.gdc_realn.bam	d59a9dec0682d773647dd1c7250c6c18	5827943944	released
58e8846d-d73f-4529-b2d8-4adb6b871abb	8dd91142-7ee1-4500-9ac9-7418c749cf33.rna_seq.genomic.gdc_realn.bam	df47c83b897d51fe08df87efe9fc1545	7538010328	released
55099189-f40c-4fde-98cb-6195aeae2445	fb7c4c02-0eba-49be-94b6-f9b7943f5925.rna_seq.genomic.gdc_realn.bam	056380e2011076c7201e97224e9fc79c	6350795246	released
1facbbcf-fb31-4206-9b90-e3bb8f89deee	91df3235-8661-4b27-9bef-14f34aa398d6.rna_seq.genomic.gdc_realn.bam	049c9e9f063376f294ff8ac5a3882c20	6442347750	released
3a596702-fff6-4a7a-943a-ce4122f0d373	73d434a7-9c39-471f-a5f5-2aebfc1a85ef.rna_seq.genomic.gdc_realn.bam	b13de31cdb91c57a1d1eb5c2b4536da6	2781579564	released
71779d3e-8f3f-42c3-9e48-6a2c6bc87248	e10d1489-b3e7-4aca-af63-fe15a285f9ee.rna_seq.genomic.gdc_realn.bam	6092606f3b46e9585b77083f17abc88b	5761942819	released
1a16e51f-d070-48be-a1f1-ab80b6ab7b6e	f56ee11a-7821-434d-84c6-0e9ea3142392.rna_seq.genomic.gdc_realn.bam	224f4a88a309a4e9f36bb044dd29e2dd	6320618395	released
5653e163-7374-49d0-9ac6-ee3ed1430006	3c16e466-9734-4c78-845b-773aa7ab3651.rna_seq.genomic.gdc_realn.bam	930be11f2e343e79068b79dd60a0cebe	3612916913	released
d729aa38-35ea-4855-86ea-b80ab4dc06a4	f499b7d4-8d31-47a3-ae6c-3244291f4e05.rna_seq.genomic.gdc_realn.bam	be7eb6f361fc9eae680213248130cb36	7991639391	released
acffd3d6-6ac0-4333-9921-1f356cc6c5d8	4d25163f-c740-4804-8fbb-182fb43ca8d4.rna_seq.genomic.gdc_realn.bam	5af7f747e73eae5fe7d26e7900fc0f72	7472174848	released
14aa47f5-17e6-49a5-b240-547d1fb8c849	51c7f64d-8c61-4a39-aae3-bb7f9aedf95b.rna_seq.genomic.gdc_realn.bam	0c32c65fa6e2036f25b195ba8df5c3b8	6352221590	released
520077e7-462b-4621-968a-e68587609123	943dbfcd-98c2-4377-91f5-47db01d4d62d.rna_seq.genomic.gdc_realn.bam	12df7527ba64b5255c478ab2c402b3e1	9057735123	released
46bd352f-438e-4d66-81ee-979e0a29cadd	57d49732-3501-439d-afc5-d4d0c958d64e.rna_seq.genomic.gdc_realn.bam	ff1ab6a664b30fb7704469bed1b6289b	6548433214	released
93b89e4c-81cc-4d58-83fc-4247776438ac	0b0b8a85-b9eb-4318-ae1f-fb3cd003b610.rna_seq.genomic.gdc_realn.bam	57e2be92a5d64c9d1f765c15e86287b8	7963768643	released
5f14a208-63ca-408a-9501-dae2ed8c5734	f6f29a60-bbc3-4d0a-bd76-0e9c313180a1.rna_seq.genomic.gdc_realn.bam	1e6d9cc2194271a01c09acddff275547	7464028724	released
2f09b3a9-03d4-4c86-8e45-50956affbe97	f2ead4ac-cb05-445a-b582-05f4ecd3c5f4.rna_seq.genomic.gdc_realn.bam	793625705d26f4b9016bbfc141c4501f	8462531933	released
3c39dbdb-7aa4-4b81-ab1a-bbb7cca22633	fb17a2f3-8918-4feb-a9a1-ed3c9644dfed.rna_seq.genomic.gdc_realn.bam	63f2439206c14e9124f2fe52ea6cc423	5897768248	released
1bcf121d-261a-43a1-8cd1-a1a6e45ae3e8	57931a2d-b5ae-4cbf-b030-c0b4806d820d.rna_seq.genomic.gdc_realn.bam	662909e287c88c6864b4c3a5551bad05	7252292692	released
fe5ca030-50c0-4690-834a-882647ba9f8b	0181bca8-b347-4106-8084-a32f87253dc9.rna_seq.genomic.gdc_realn.bam	9be9242f061a515e51693a7a96089dc9	7735953354	released
2316e256-5b0a-47ca-a9e3-bc651fdcf683	2ec23a96-8205-403d-bd28-fdada96c8303.rna_seq.genomic.gdc_realn.bam	022524707ea2f9226e29bb0435f71909	10075438214	released
7886d8ba-0a63-4b8a-9c91-b1d4a53db884	0c79ae09-f423-4bed-8588-30437a247721.rna_seq.genomic.gdc_realn.bam	783191c93d287e58ae95bb092c120b6b	5222617655	released
e74deca1-45d4-4944-b7ac-0f39058aa9fe	248de51e-a601-4a4c-93b0-59a4ba1506e1.rna_seq.genomic.gdc_realn.bam	2d62afc796e3a11dd412120fca87baaa	5894845698	released
f97372a2-1252-4eac-ba44-d10b02301862	68983237-d100-4148-9d5c-edb0fea2e01e.rna_seq.genomic.gdc_realn.bam	ba5ed1a1e288768b29f4404e14407b71	7486529450	released
e20fb2bf-024e-4970-8919-202db8ce10cf	e8c97501-d59d-43c8-8b2b-6bb31635e929.rna_seq.genomic.gdc_realn.bam	5404a3028ea88f420fda51fed6baedc6	4845624541	released
2d92df3f-864e-43c8-ac56-bba8b0fe84f1	977eb6f8-97b0-4816-992e-ec02913930da.rna_seq.genomic.gdc_realn.bam	6e9376c3ea04295090866d4940f3020d	7048527735	released
01d7dca1-5fb0-4ce8-aab8-c8e7e3fe0780	843220fd-e535-472d-865d-4e3b67424479.rna_seq.genomic.gdc_realn.bam	95ee7919980204e34cd54c579980d5a5	5585540355	released
7f1dd0c7-51f2-45df-b766-2a24b8f98bd6	3e094db3-818a-46d2-acad-c1e3af8eea5c.rna_seq.genomic.gdc_realn.bam	99dc5320097322368e434914276121c2	6545625885	released
